metric,pattern,severity_S,variante,n_pairs,median_diff_log10_vs_base,wilcoxon_stat,p_value,p_value_bh
log10_kappa_despues,none,0,SA-Aug,20,0.9772516795314057,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,0,SA-Mat,20,0.2629874497163016,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,0,Ruiz,20,0.9481540826533104,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,0,Ruiz+Cols,20,0.9481540826533104,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,0,Flat,20,-0.05519322198712495,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,3,SA-Aug,20,0.9772516795314057,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,3,SA-Mat,20,0.2629874497163016,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,3,Ruiz,20,0.9481540826533104,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,3,Ruiz+Cols,20,0.9481540826533104,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,3,Flat,20,-0.05519322198712495,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,6,SA-Aug,20,0.9772516795314057,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,6,SA-Mat,20,0.2629874497163016,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,6,Ruiz,20,0.9481540826533104,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,6,Ruiz+Cols,20,0.9481540826533104,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,none,6,Flat,20,-0.05519322198712495,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,local,0,SA-Aug,20,0.9772516795314057,0.0,1.9073486328125e-06,2.384185791015625e-06
log10_kappa_despues,local,0,SA-Mat,20,0.2629874497163016,0.0,1.9073486328125e-06,2.384185791015625e-06
